PUBLICATION_DATE,UID,AA_CENTER_LAT,AA_CENTER_LON,AGGR_ECO3_2015,AGGR_ECO3_NM_2015,AGGR_ECO9_2015,AGGR_ECO9_NM_2015,ANALYSIS_LAT,ANALYSIS_LON,CLASS_DESIGN_FWSST,CLASS_FIELD_FWSST,CLASS_FIELD_HGM,COE_REGION,COE_SUBREG,COUNTY,DATE_COL,DESIGN_ID,ECO_X_ST,ECO_X_WETGRP,EPA_REG,FED_NONFED,FIP,HUC10,HUC10_NAME,LRR_NAME,LRRSYM,MAJ_RIVER_BASIN,MDCATY,MLRA_ID,MLRA_NAME,NEP_AREA,NEP_NAME,NWCA_ECO4,NWCA_WET_GRP,PAD_AREA,PAD_NAME,PAD_OWN_NAME,PAD_OWN_TYPE,PANEL,PH2_WGTCAT,PHYS_REG,REF_NWCA,REFPLUS_NWCA,SANDT_COAST_REG,SANDT_FIELD_GRPS,SANDT_RSTUDY,SITE_ID,SITE_USE,SITESAMP,ST_FIP,STATE,STATE_NAME,STATUS_11,STRATUM,TNT_11,US_L3CODE_2015,US_L3NAME_2015,US_L4CODE_2015,US_L4NAME_2015,USAC_REGION,VALXSITE,VISIT_NO,WGT_11,WGT_PH1_11,WGT_PH2_11,XCOORD,XSTATUS,YCOORD,SAMPLE_TYPE
8/13/2015,2792,32.66363368,-80.28484663,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,32.66363368,-80.28484663,E2SS,E2EM,TIDAL,Atlantic and Gulf Coastal Plain,LRR T (MLRA 153B),Charleston,18-May-11,NWCA11-2435,E2EM,ALL-EH,4,Non Federal,45019,305020604,North Edisto River,Atlantic and Gulf Coast Lowland Forest and Crop Region,T,South Atlantic Gulf,E2SS,262,Tidewater Area,NO,,CPL,EH,NO,,,,Base,SC,36,L,MIN,South East Coast Region,E2EM,Coastal Watersheds,NWCA11-2435,NWCA_PROBABILITY,YES,45,SC,South Carolina,Target_Sampled,SC,Target,75,Southern Coastal Plain,75j,Sea Islands/Coastal Marsh,CSTL_PLAIN,E2EM,1,239.97439,18.68253,12.84485,1458986.666,POINT_SAMPLEABLE,-420113.426,SITEINFO
8/13/2015,2811,30.54231,-86.99638,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,30.54231,-86.99638,,E2EM,TIDAL,Atlantic and Gulf Coastal Plain,"LRR T (MLRA 152A, 152B, 153A)",Santa Rosa,8-Jun-11,,E2EM,ALL-EH,4,Non Federal,12113,314010308,Lower Yellow River,Atlantic and Gulf Coast Lowland Forest and Crop Region,T,South Atlantic Gulf,,259,Eastern Gulf Coast Flatwoods,NO,,CPL,EH,YES,Yellow River Marsh Aquatic Preserve,State Department of Environment,State,,,,I,I,Gulf Coast Region,E2EM,Coastal Watersheds,NWCA11-R067,NWCA_NOT_PROBABILITY,YES,12,FL,Florida,,,,75,Southern Coastal Plain,75i,Floodplains and Low Terraces,CSTL_PLAIN,E2EM,1,,,,,POINT_SAMPLEABLE,,SITEINFO
8/13/2015,2812,30.26178475,-87.7289122,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,30.26178475,-87.7289122,E2EM,E2EM,TIDAL,Atlantic and Gulf Coastal Plain,"LRR T (MLRA 152A, 152B, 153A)",Baldwin,26-May-11,NWCA11-1002,E2EM,ALL-EH,4,FWS,1003,316020502,Fish River-Frontal Mobile Bay,Atlantic and Gulf Coast Lowland Forest and Crop Region,T,South Atlantic Gulf,E2EM,259,Eastern Gulf Coast Flatwoods,YES,Mobile Bay,CPL,EH,YES,Bon Secour National Wildlife Refuge,Fish and Wildlife Service (FWS),Federal,Revisit,AL,36,L,MIN,Gulf Coast Region,E2EM,Coastal Watersheds,NWCA11-1002,NWCA_PROBABILITY,YES,1,AL,Alabama,Target_Sampled,AL,Target,75,Southern Coastal Plain,75k,Gulf Barrier Islands and Coastal Marshes,CSTL_PLAIN,E2EM,1,1637.5674,8.11398,201.8206,793658.303,POINT_SAMPLEABLE,-773793.124,SITEINFO
8/13/2015,3239,30.4310234,-87.63309304,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,30.4310234,-87.63309304,PFO,PFO,RIVERINE,Atlantic and Gulf Coastal Plain,LRR P,Baldwin,4-May-11,NWCA11-1014,CPL-PW,CPL-PRLW,4,Non Federal,1003,314010702,Wolf Bay Frontal,"South Atlantic and Gulf Slope Cash Crops, Forest, and Livestock Region",P,South Atlantic Gulf,PFO,234,Southern Coastal Plain,NO,,CPL,PRLW,NO,,,,Base,AL,13,I,I,Gulf Coast Region,PW,Coastal Watersheds,NWCA11-1014,NWCA_PROBABILITY,YES,1,AL,Alabama,Target_Sampled,AL,Target,65,Southeastern Plains,65f,Southern Pine Plains and Hills,CSTL_PLAIN,PFO,1,78899.73083,21.1389,3732.44319,801176.459,POINT_SAMPLEABLE,-754266.083,SITEINFO
8/13/2015,3265,30.89779,-87.91708,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,30.8983045,-87.91717595,PFO,PFO,RIVERINE,Atlantic and Gulf Coastal Plain,LRR P,Baldwin,10-May-11,NWCA11-1011,CPL-PW,CPL-PRLW,4,Non Federal,1003,316020402,Rains Creek-Tensaw River,"South Atlantic and Gulf Slope Cash Crops, Forest, and Livestock Region",P,South Atlantic Gulf,PFO,234,Southern Coastal Plain,YES,Mobile Bay,CPL,PRLW,YES,W.l. Holland Wildlife Management Area,State Fish and Wildlife,State,Base,AL,13,L,L,Gulf Coast Region,PW,Coastal Watersheds,NWCA11-1011,NWCA_PROBABILITY,YES,1,AL,Alabama,Target_Sampled,AL,Target,75,Southern Coastal Plain,75i,Floodplains and Low Terraces,CSTL_PLAIN,PFO,1,78899.73083,21.1389,3732.44319,769629.357,RELOCATED_POINT_SAMPLEABLE,-704878.745,SITEINFO
8/13/2015,3275,32.52797655,-80.59788235,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,32.52797655,-80.59788235,E2SS,E2SS,,Atlantic and Gulf Coastal Plain,LRR T (MLRA 153B),Beaufort,11-Apr-11,NWCA11-2410,E2SS,ALL-EW,4,Non Federal,45013,305020711,Coosaw River-Port Royal Sound,Atlantic and Gulf Coast Lowland Forest and Crop Region,T,South Atlantic Gulf,E2SS,262,Tidewater Area,NO,,CPL,EW,NO,,,,Base,SC,36,M,M,South East Coast Region,E2SS,Coastal Watersheds,NWCA11-2410,NWCA_PROBABILITY,YES,45,SC,South Carolina,Target_Sampled,SC,Target,75,Southern Coastal Plain,75j,Sea Islands/Coastal Marsh,CSTL_PLAIN,E2SS,1,239.97439,18.68253,12.84485,1432623.529,POINT_SAMPLEABLE,-439803.538,SITEINFO
8/13/2015,3314,37.51965,-122.21677,WMTNS,West,XER,Xeric,37.5193534,-122.2169791,E2EM,E2EM,TIDAL,Arid West,LRR C,San Mateo,12-May-11,NWCA11-1105,E2EM,ALL-EH,9,FWS,6081,1805000410,San Francisco Bay,"California Subtropical Fruit, Truck, and Specialty Crop Region",C,California,E2EM,19,Central California Coastal Valleys,YES,San Francisco Estuary Partnership,W,EH,YES,Don Edwards San Francisco Bay National Wildlife Refuge,Fish and Wildlife Service (FWS),Federal,Revisit,CA,37,I,I,Pacific Coast Region,E2EM,Coastal Watersheds,NWCA11-1105,NWCA_PROBABILITY,YES,6,CA,California,Target_Sampled,CA,Target,6,Central California Foothills and Coastal Mountains,6p,Bay Flats,ARID_W,E2EM,1,8674.34098,43.41264,199.81141,-2266245.456,POINT_SAMPLEABLE,316763.262,SITEINFO
8/13/2015,3315,32.26787523,-81.12259198,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,32.26787523,-81.12259198,PFO,PFO,RIVERINE,Atlantic and Gulf Coastal Plain,"LRR T (MLRA 152A, 152B, 153A)",Jasper,25-Apr-11,NWCA11-2402,CPL-PW,CPL-PRLW,4,FWS,45053,306010903,Dasher Creek-Savannah River,Atlantic and Gulf Coast Lowland Forest and Crop Region,T,South Atlantic Gulf,PFO,261,Atlantic Coast Flatwoods,NO,,CPL,PRLW,YES,Savannah National Wildlife Refuge,Fish and Wildlife Service (FWS),Federal,Revisit,,,M,M,South East Coast Region,PW,Coastal Watersheds,NWCA11-2402,NWCA_REVISITS,YES,45,SC,South Carolina,,SC,,75,Southern Coastal Plain,75i,Floodplains and Low Terraces,CSTL_PLAIN,PFO,2,,,,,POINT_SAMPLEABLE,,SITEINFO
8/13/2015,3316,33.94470375,-82.31824702,EHIGH,Eastern Highlands,SAP,Southern Appalachians,33.94470375,-82.31824702,PUBPAB,PUBPAB,DPRSS,Eastern Mountains and Piedmont,LRR P (MLRA 136),McCormick,27-Apr-11,NWCA11-2401,EMU-PH,EMU-PRLH,4,Non Federal,45065,306010307,Thrumond Lake-Savannah River,"South Atlantic and Gulf Slope Cash Crops, Forest, and Livestock Region",P,South Atlantic Gulf,PUBPAB,240,Southern Piedmont,NO,,EMU,PRLH,NO,,,,Revisit,,,M,M,,PH,,NWCA11-2401,NWCA_REVISITS,YES,45,SC,South Carolina,,SC,,45,Piedmont,45b,Southern Outer Piedmont,E_MTNS,PUBPAB,2,,,,,RELOCATED_POINT_SAMPLEABLE,,SITEINFO
8/13/2015,3317,36.72174545,-75.94713541,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,36.72174545,-75.94713541,E2EM,E2EM,TIDAL,Atlantic and Gulf Coastal Plain,LRR T (MLRA 153B),Virginia Beach,13-Jun-11,NWCA11-2639,E2EM,ALL-EH,3,FWS,51810,301020513,Currituck Sound,Atlantic and Gulf Coast Lowland Forest and Crop Region,T,South Atlantic Gulf,E2EM,262,Tidewater Area,YES,Albemarle-Pamlico Sounds,CPL,EH,YES,Back Bay National Wildlife Refuge,Fish and Wildlife Service (FWS),Federal,Base,VA,36,I,I,South East Coast Region,E2EM,Coastal Watersheds,NWCA11-2639,NWCA_PROBABILITY,YES,51,VA,Virginia,Target_Sampled,VA,Target,63,Middle Atlantic Coastal Plain,63d,Virginian Barrier Islands and Coastal Marshes,CSTL_PLAIN,E2EM,1,8987.64912,11.11042,808.93879,1761311.794,POINT_SAMPLEABLE,99312.745,SITEINFO
8/13/2015,3339,37.38481586,-76.25894979,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,37.38481586,-76.25894979,E2SS,E2EM,FLATS,Atlantic and Gulf Coastal Plain,LRR T (MLRA 153B),Mathews,9-Jun-11,NWCA11-2637,E2EM,ALL-EH,3,Non Federal,51115,208010204,Mobjack Bay-Lower Chesapeake Bay,Atlantic and Gulf Coast Lowland Forest and Crop Region,T,Mid Atlantic,E2SS,262,Tidewater Area,NO,,CPL,EH,NO,,,,Base,VA,36,L,L,North East Coast Region,E2EM,Coastal Watersheds,NWCA11-2637,NWCA_PROBABILITY,YES,51,VA,Virginia,Target_Sampled,VA,Target,63,Middle Atlantic Coastal Plain,63b,Chesapeake-Pamlico Lowlands and Tidal Marshes,CSTL_PLAIN,E2EM,1,277.82186,11.11042,25.00552,1718999.368,POINT_SAMPLEABLE,166278.443,SITEINFO
8/13/2015,3340,29.23680204,-94.89075584,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,29.23680204,-94.89075584,PUBPAB,E2SS,TIDAL,Atlantic and Gulf Coastal Plain,LRR T (MLRA 150B),Galveston,8-Jun-11,NWCA11-2536,E2SS,ALL-EW,6,Non Federal,48167,1204020402,Dickinson Bayou,Atlantic and Gulf Coast Lowland Forest and Crop Region,T,Texas Gulf,PUBPAB,257,Gulf Coast Saline Prairies,YES,Galveston Bay,CPL,EW,NO,,,,Base,TX,36,L,MIN,Gulf Coast Region,E2SS,Coastal Watersheds,NWCA11-2536,NWCA_PROBABILITY,YES,48,TX,Texas,Target_Sampled,TX,Target,34,Western Gulf Coastal Plain,34h,Mid-Coast Barrier Islands and Coastal Marshes,CSTL_PLAIN,E2SS,1,6538.37735,9.24659,707.11234,107897.253,POINT_SAMPLEABLE,-921400.791,SITEINFO
8/13/2015,3358,32.81949,-79.72659,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,32.81910575,-79.72651955,E2SS,E2EM,TIDAL,Atlantic and Gulf Coastal Plain,LRR T (MLRA 153B),Charleston,5-May-11,NWCA11-2420,E2EM,ALL-EH,4,Non Federal,45019,305020902,Bulls Bay,Atlantic and Gulf Coast Lowland Forest and Crop Region,T,South Atlantic Gulf,E2SS,262,Tidewater Area,NO,,CPL,EH,NO,,,,Base,SC,36,I,I,South East Coast Region,E2EM,Coastal Watersheds,NWCA11-2420,NWCA_PROBABILITY,YES,45,SC,South Carolina,Target_Sampled,SC,Target,75,Southern Coastal Plain,75j,Sea Islands/Coastal Marsh,CSTL_PLAIN,E2EM,1,239.97439,18.68253,12.84485,1507367.146,POINT_SAMPLEABLE,-394300.6,SITEINFO
8/13/2015,3360,36.086082,-77.658468,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,36.0862235,-77.65846667,PUBPAB,PSS,DPRSS,Atlantic and Gulf Coastal Plain,LRR P,Edgecombe,9-May-11,NWCA11-2055,CPL-PW,CPL-PRLW,4,Non Federal,37065,302010108,Swift Creek,"South Atlantic and Gulf Slope Cash Crops, Forest, and Livestock Region",P,South Atlantic Gulf,PUBPAB,234,Southern Coastal Plain,YES,Albemarle-Pamlico Sounds,CPL,PRLW,NO,,,,Base,NC,14,I,I,,PW,,NWCA11-2055,NWCA_PROBABILITY,YES,37,NC,North Carolina,Target_Sampled,NC,Target,65,Southeastern Plains,65m,Rolling Coastal Plain,CSTL_PLAIN,PSS,1,135939.546,330.13348,411.77146,1626613.645,POINT_SAMPLEABLE,-934.478,SITEINFO
8/13/2015,3362,36.4237928,-77.41947906,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,36.4237928,-77.41947906,PFO,PFO,RIVERINE,Atlantic and Gulf Coastal Plain,LRR P,Northampton,10-May-11,NWCA11-2027,CPL-PW,CPL-PRLW,4,Non Federal,37131,301020408,Potecasi Creek,"South Atlantic and Gulf Slope Cash Crops, Forest, and Livestock Region",P,South Atlantic Gulf,PFO,234,Southern Coastal Plain,YES,Albemarle-Pamlico Sounds,CPL,PRLW,NO,,,,Base,NC,13,M,M,,PW,,NWCA11-2027,NWCA_PROBABILITY,YES,37,NC,North Carolina,Target_Sampled,NC,Target,65,Southeastern Plains,65m,Rolling Coastal Plain,CSTL_PLAIN,PFO,1,209190.5739,48.85132,4282.18836,1640194.016,POINT_SAMPLEABLE,40270.709,SITEINFO
8/13/2015,3366,32.26787523,-81.12259198,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,32.26787523,-81.12259198,PFO,PFO,RIVERINE,Atlantic and Gulf Coastal Plain,"LRR T (MLRA 152A, 152B, 153A)",Jasper,6-Apr-11,NWCA11-2402,CPL-PW,CPL-PRLW,4,FWS,45053,306010903,Dasher Creek-Savannah River,Atlantic and Gulf Coast Lowland Forest and Crop Region,T,South Atlantic Gulf,PFO,261,Atlantic Coast Flatwoods,NO,,CPL,PRLW,YES,Savannah National Wildlife Refuge,Fish and Wildlife Service (FWS),Federal,Revisit,SC,13,M,M,South East Coast Region,PW,Coastal Watersheds,NWCA11-2402,NWCA_PROBABILITY,YES,45,SC,South Carolina,Target_Sampled,SC,Target,75,Southern Coastal Plain,75i,Floodplains and Low Terraces,CSTL_PLAIN,PFO,1,192119.1162,43.23596,4443.5029,1388745.697,POINT_SAMPLEABLE,-476225.174,SITEINFO
8/13/2015,3401,34.804609,-76.453232,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,34.80439343,-76.45313308,E2SS,E2SS,TIDAL,Atlantic and Gulf Coastal Plain,LRR T (MLRA 153B),Carteret,23-May-11,NWCA11-2066,E2SS,ALL-EW,4,Non Federal,37031,302030106,Oyster Creek-Jarrett Bay,Atlantic and Gulf Coast Lowland Forest and Crop Region,T,South Atlantic Gulf,E2SS,262,Tidewater Area,YES,Albemarle-Pamlico Sounds,CPL,EW,NO,,,,Base,NC,36,M,M,South East Coast Region,E2SS,Coastal Watersheds,NWCA11-2066,NWCA_PROBABILITY,YES,37,NC,North Carolina,Target_Sampled,NC,Target,63,Middle Atlantic Coastal Plain,63g,Carolinian Barrier Islands and Coastal Marshes,CSTL_PLAIN,E2EM,1,746.81823,11.10103,67.27467,1761347.24,POINT_SAMPLEABLE,-120086.479,SITEINFO
8/13/2015,3403,34.88362396,-76.51596497,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,34.88362396,-76.51596497,E2SS,E2SS,FLATS,Atlantic and Gulf Coastal Plain,LRR T (MLRA 153B),Carteret,24-May-11,NWCA11-2025,E2SS,ALL-EW,4,Non Federal,37031,302020407,Neuse River,Atlantic and Gulf Coast Lowland Forest and Crop Region,T,South Atlantic Gulf,E2SS,262,Tidewater Area,YES,Albemarle-Pamlico Sounds,CPL,EW,NO,,,,Base,NC,36,I,I,South East Coast Region,E2SS,Coastal Watersheds,NWCA11-2025,NWCA_PROBABILITY,YES,37,NC,North Carolina,Target_Sampled,NC,Target,63,Middle Atlantic Coastal Plain,63b,Chesapeake-Pamlico Lowlands and Tidal Marshes,CSTL_PLAIN,E2EM,1,746.81823,11.10103,67.27467,1753960.723,POINT_SAMPLEABLE,-112571.464,SITEINFO
